Company Name,Subindustry,Sub Subindustry,Address,Phone,Website,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA,Location 1
Europa Cafe,Café / Deli,,3 Times Sq,212-239-0160,www.euorpacafe.com,1,10036,40.756376,-73.986713,5,3,119,1024686,1010140033,Midtown-Midtown South                                                      ,"3 Times Sq
(40.756376, -73.986713)"
Ranch 1,Quick Serve,Fast Food,832 Eighth Ave,2129561111,,1,10019,40.762444,-73.985983,5,3,131,1024809,1010220002,Midtown-Midtown South                                                      ,"832 Eighth Ave
(40.762444, -73.985983)"
Sosa Borella,Full Serve,Argentinian,832 Eighth Ave,(212) 262-8282,http://www.sosaborella.com/,1,10019,40.762444,-73.985983,5,3,131,1024809,1010220002,Midtown-Midtown South                                                      ,"832 Eighth Ave
(40.762444, -73.985983)"
Mi Nidito (Cantina Mexicana),Full Serve,Mexican,852 Eighth Ave,(212) 265-0022,,1,10019,40.763128,-73.985481,5,3,131,1081646,1010230002,Midtown-Midtown South                                                      ,"852 Eighth Ave
(40.763128, -73.985481)"
Starbucks,Coffee,,"871-879 Eighth Ave, Suite# 871",2122467699,www.starbucks.com,1,10019,40.763644,-73.985134,4,3,133,1025257,1010437501,Clinton                                                                    ,"871-879 Eighth Ave, Suite# 871
(40.763644, -73.985134)"
China Gourmet,Full Serve,Chinese,877 Eighth Ave,(212) 246-8181,,1,10019,40.763789,-73.985026,4,3,133,1025257,1010437501,Clinton                                                                    ,"877 Eighth Ave
(40.763789, -73.985026)"
Rino Trattoria,Full Serve,Italian,877 Eighth Ave,(212) 307-0666,www.rinotrattoria.com,1,10019,40.763789,-73.985026,4,3,133,1025257,1010437501,Clinton                                                                    ,"877 Eighth Ave
(40.763789, -73.985026)"
Laxmi Corp. Newsstand,Café / Deli,,879 Eighth Ave,,,1,10019,40.763839,-73.98499,4,3,133,1025257,1010437501,Clinton                                                                    ,"879 Eighth Ave
(40.763839, -73.98499)"
Caffe Cielo,Full Serve,Italian,881 Eighth Ave,212 246-9555,,1,10019,40.763885,-73.984954,4,3,133,1025323,1010437502,Clinton                                                                    ,"881 Eighth Ave
(40.763885, -73.984954)"
Cosmic Diner,Full Serve,Diner,888 Eighth Ave,212 333-5888,,1,10019,40.764072,-73.984791,5,3,131,1024825,1010240001,Midtown-Midtown South                                                      ,"888 Eighth Ave
(40.764072, -73.984791)"
Brasserie Athena,Full Serve,French,300 W 46th St,(212) 399-1100,,1,10036,40.759963,-73.988355,4,3,121,1081654,1010360036,Clinton                                                                    ,"300 W 46th St
(40.759963, -73.988355)"
The House of Brews,Full Serve,American,302 W 51st St,,http://www.houseofbrewsny.com/,1,10019,40.763037,-73.985958,4,3,133,1025175,1010410037,Clinton                                                                    ,"302 W 51st St
(40.763037, -73.985958)"
Seasons,Full Serve,American,888 Eighth Ave,(212) 586-2257,,1,10019,40.764072,-73.984791,5,3,131,1024825,1010240001,Midtown-Midtown South                                                      ,"888 Eighth Ave
(40.764072, -73.984791)"
World of Nuts and Ice Cream,Quick Serve,Dessert,888 Eighth Ave,(212) 245-0398,www.worldofnutsandicecream.com,1,10019,40.764072,-73.984791,5,3,131,1024825,1010240001,Midtown-Midtown South                                                      ,"888 Eighth Ave
(40.764072, -73.984791)"
Green Emporium,Café / Deli,,791 Eighth Ave,2124591924,,1,10019,40.761133,-73.986958,4,3,127,1025141,1010390029,Clinton                                                                    ,"791 Eighth Ave
(40.761133, -73.986958)"
Rosie O'Grady's Saloon,Full Serve,American,800 Seventh Ave,212-582-2975,,1,10019,40.762441,-73.982294,5,4,131,1024827,1010240029,Midtown-Midtown South                                                      ,"800 Seventh Ave
(40.762441, -73.982294)"
"810 Deli, Inc",Café / Deli,,810 Seventh Ave,2125414136,www.810deli.com,1,10019,40.762639,-73.982146,5,4,131,1024828,1010240038,Midtown-Midtown South                                                      ,"810 Seventh Ave
(40.762639, -73.982146)"
Deli / Café,Café / Deli,,810 Seventh Ave,(212) 541-4136,http://www.810deli.com/,1,10019,40.762639,-73.982146,5,4,131,1024828,1010240038,Midtown-Midtown South                                                      ,"810 Seventh Ave
(40.762639, -73.982146)"
Ichi Masa Japanese Sushi,Full Serve,Japanese,825 Eighth Ave,(212) 315-4800,http://ichimasany.com/,1,10019,40.762074,-73.986275,4,3,127,1076203,1010400029,Clinton                                                                    ,"825 Eighth Ave
(40.762074, -73.986275)"
Starbucks,Coffee,,825 Eighth Ave,2124622020,www.starbucks.com,1,10019,40.762074,-73.986275,4,3,127,1076203,1010400029,Clinton                                                                    ,"825 Eighth Ave
(40.762074, -73.986275)"
Starbucks,Coffee,,156 W 52nd St,(212) 581-6410,,1,10019,40.762027,-73.981622,5,4,131,1023157,1010040020,Midtown-Midtown South                                                      ,"156 W 52nd St
(40.762027, -73.981622)"
The Library @ Paramount Hotel,Full Serve,American,235 W 46th St,212 827-4183,www.paramountNewYork.solmelia.com,1,10036,40.759132,-73.986348,5,3,125,1024737,1010180006,Midtown-Midtown South                                                      ,"235 W 46th St
(40.759132, -73.986348)"
46 Bar (Paramount Hotel),Bar / Lounge,,235 W 46th St,(212) 764-5500,http://www.nycparamount.com/,1,10036,40.759132,-73.986348,5,3,125,1024737,1010180006,Midtown-Midtown South                                                      ,"235 W 46th St
(40.759132, -73.986348)"
Victor's Cafe,Café / Deli,,236 W 52nd St,(212) 586-7714 ,www.victorscafe.com,1,10019,40.762968,-73.983853,5,3,131,1080858,1010230051,Midtown-Midtown South                                                      ,"236 W 52nd St
(40.762968, -73.983853)"
Auntie Anne's,Quick Serve,Fast Food,664 Eighth Ave,2127641542,www.auntieannes.com,1,10036,40.757436,-73.989633,5,3,119,1087142,1010140001,Midtown-Midtown South                                                      ,"664 Eighth Ave
(40.757436, -73.989633)"
B.B. King Blues Club & Grill,Full Serve,American,237 W 42nd St,2129974144,www.bbkingblues.com,1,10036,40.756785,-73.988702,5,3,119,1087142,1010140001,Midtown-Midtown South                                                      ,"237 W 42nd St
(40.756785, -73.988702)"
Cold Stone Creamery/ Tim Horton's,Quick Serve,Dessert,243 W 42nd St,2123981882,www.coldstonecreamery.com,1,10036,40.756821,-73.988789,5,3,119,1087142,1010140001,Midtown-Midtown South                                                      ,"243 W 42nd St
(40.756821, -73.988789)"
Dallas BBQ,Full Serve,Barbecue,27 West 72nd Street,2128732004,,1,10023,40.776988,-73.977766,7,6,157,1087511,1011257502,Lincoln Square                                                             ,"27 West 72nd Street
(40.776988, -73.977766)"
Starbucks,Coffee,,251 W 42nd St,2123981982,www.starbucks.com,1,10036,40.756867,-73.988901,5,3,119,1087142,1010140001,Midtown-Midtown South                                                      ,"251 W 42nd St
(40.756867, -73.988901)"
Pongsri Thai Restaurant,Full Serve,Thai,244 W 48th St,2125823392,,1,10036,40.76052,-73.985817,5,3,125,1024765,1010190059,Midtown-Midtown South                                                      ,"244 W 48th St
(40.76052, -73.985817)"
